hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
5,0.06736771624040287,29.832573292107735,,988.7436159069291,1400.8123076927811,0.043478260869565216,0.0,247.38095062306078,0.25925925925925924,0.07407407407407407,41
6,3.1395310723668484,21.756851398841256,,1063.0661984400972,1215.2517124950277,0.19230769230769232,0.0,353.6512718965044,0.29411764705882354,0.17647058823529413,41
7,0.6073836623587795,13.911592641458476,,920.1022202214297,1282.1787946594375,0.1,0.08333333333333333,234.93564366535924,0.175,0.075,41
8,5.9048177113704785,19.876446229988474,,950.6318299344648,1272.3503389442274,0.034482758620689655,0.020833333333333332,250.9664304732921,0.21621621621621623,0.08108108108108109,41
9,2.2807158022681193,11.308725526188041,,991.258696863414,1358.01952573324,0.08695652173913043,0.075,253.7856589889779,0.23008849557522124,0.12389380530973451,41
10,15.400652669242396,22.49829305761892,,967.6659646690584,1194.7539350149184,0.08208955223880597,0.06363636363636363,255.90295553654047,0.23214285714285715,0.08928571428571429,41
11,11.902699515204388,22.620948886834945,,1203.3751143665193,1472.4809312876491,0.140625,0.11214953271028037,284.5552740999708,0.2037037037037037,0.09259259259259259,41
12,8.415661737582672,17.920290154454232,131.38177814153278,1152.9794955962388,1373.2290598852662,0.11428571428571428,0.037037037037037035,316.86298752033446,0.21637426900584794,0.10526315789473684,41
13,3.677886401054446,12.205114646003167,32.47906007791062,1268.8465576964838,1457.4305983159854,0.0660377358490566,0.023255813953488372,299.0900609467912,0.24489795918367346,0.09523809523809523,41
14,4.483969635857392,12.003702265113478,,1196.4764064561596,1538.1099326874796,0.06557377049180328,0.0196078431372549,263.4955643569232,0.2275449101796407,0.08383233532934131,41
15,4.540271212766772,15.926011564553365,195.6818514645247,1329.6994567191716,1460.485553527227,0.09090909090909091,0.03636363636363636,324.65669870652084,0.2727272727272727,0.13068181818181818,41
16,2.6527176485876836,17.286099224439447,89.62862399475716,1287.2991119132912,1398.0333307918436,0.13725490196078433,0.0,265.13523640911876,0.18493150684931506,0.08904109589041095,41
17,3.3363175235519207,24.587141880029666,,1416.1547958274793,1699.3843684857784,0.072992700729927,0.0,379.0606952662834,0.22929936305732485,0.1464968152866242,41
18,2.3128711976760843,23.844087665228574,,1438.3678415035886,1622.0702316448114,0.10416666666666667,0.0,260.3652814804992,0.16666666666666666,0.07971014492753623,41
19,4.145948541377984,39.48172759141931,,1454.5170578882569,1768.7879330323574,0.06363636363636363,0.0,300.54840021910263,0.15827338129496402,0.07913669064748201,41
20,1.6282081568251507,50.52755864879953,,1465.0160587868472,1732.9114595810693,0.07865168539325842,0.0,377.26194363048955,0.26785714285714285,0.10714285714285714,41
21,0.5813049248514811,47.76087525337146,,1475.8620393205804,1800.2709913403748,0.15492957746478872,0.0,407.8822204023494,0.24719101123595505,0.1348314606741573,41
22,2.621662802268894,66.26465271758043,,1450.9016170964337,1930.6635086228926,0.1,0.0,432.21258996538177,0.21794871794871795,0.1282051282051282,41
23,0.25314372889148506,77.50236466683782,,1453.9181898070572,1916.9346150585652,0.10256410256410256,0.0,342.1197550513702,0.2982456140350877,0.10526315789473684,41
0,2.119402836409563,107.24895823515874,,1278.2919833640624,1506.0116964922524,0.08333333333333333,0.0,491.05033490413996,0.6086956521739131,0.17391304347826086,42
1,0.21420105508047224,118.91051641356168,86.37295687285587,1318.0614791405658,1540.5108210639823,0.02857142857142857,0.0,519.5384074723931,0.4666666666666667,0.2,42
2,1.7497326692089314,102.54252848758168,,1080.8883320370503,1340.3184846430554,0.06666666666666667,0.0,422.73478141438636,0.45454545454545453,0.15151515151515152,42
3,0.20298103404880036,95.72734975295847,,1486.541597630795,1844.8913448006451,0.047619047619047616,0.0,424.7914204370108,0.391304347826087,0.13043478260869565,42
4,0.5388489020369691,83.9249056557758,,1261.5203551483871,1453.128761318579,0.0,0.0,537.1730948251992,0.43478260869565216,0.21739130434782608,42
5,0.08506561886605805,47.03096587626862,,1386.511945822248,1468.7450216000443,0.0,0.0,231.00276413340652,0.2692307692307692,0.07692307692307693,42
6,0.7170371963977173,51.29379355174564,,1082.5486156213042,1122.292610354721,0.11538461538461539,0.0,488.28841683754257,0.45161290322580644,0.22580645161290322,42
7,0.14754335715213399,13.867436088454095,84.1142896023182,733.6171671633087,906.3460518534924,0.034482758620689655,0.04,218.85817686932344,0.14285714285714285,0.11428571428571428,42
8,4.2651620625808055,10.729854555236882,,793.2289362289308,1207.386327253466,0.06896551724137931,0.06382978723404255,259.8471662019197,0.16666666666666666,0.08333333333333333,42
9,3.6994464454515716,10.396068920993411,95.30680491007843,1149.4324591789125,1409.9804781595058,0.11926605504587157,0.11627906976744186,374.24708047094157,0.2803030303030303,0.18181818181818182,42
10,17.328428654736893,21.53997383413618,,1337.6601948834827,1492.4866439191617,0.046875,0.05454545454545454,274.05997042381824,0.2138364779874214,0.08176100628930817,42
11,14.662849784616789,22.52447649826728,,996.5439652320413,1182.5480879743673,0.05785123966942149,0.06,249.74148358192954,0.19393939393939394,0.07878787878787878,42
12,15.188286359030533,24.31392218423396,,1227.804634562072,1417.8093267790487,0.1076923076923077,0.034782608695652174,246.3802421220941,0.13690476190476192,0.08928571428571429,42
13,5.773570721557169,14.282800486843252,,1355.9529111626566,1557.496339481369,0.05982905982905983,0.03,277.76920154838473,0.2054794520547945,0.0958904109589041,42
14,7.694907766626722,13.35278913610739,38.95904048114062,1093.02233058898,1286.2321013877263,0.05785123966942149,0.0,248.8810973341368,0.1895424836601307,0.09803921568627451,42
15,2.900840568557849,9.619919704307682,,1387.2587962062473,1521.0571221962682,0.0743801652892562,0.00980392156862745,251.8849444330908,0.19463087248322147,0.087248322147651,42
16,1.7933538563980633,9.377777927670918,114.87000754822293,1362.8877700239116,1512.8755895602499,0.13761467889908258,0.0,285.55147790967214,0.18115942028985507,0.11594202898550725,42
17,1.92637295524311,9.838697097258834,,1410.47720937643,1488.6954182496822,0.05454545454545454,0.0,378.9084273851577,0.25190839694656486,0.16793893129770993,42
18,1.1323837040742533,15.546220115154616,,1454.287060810908,1661.3509196436216,0.12871287128712872,0.0,271.01361791328515,0.18253968253968253,0.09523809523809523,42
19,1.4886817236316943,23.713735274622344,107.21116950059604,1491.8240864288823,1517.9174937011505,0.07692307692307693,0.0,333.28094660226907,0.15441176470588236,0.11764705882352941,42
20,0.8945408933007915,36.333059639353216,,1518.867558858766,1660.4571120321523,0.10869565217391304,0.0,357.2592907681524,0.2125984251968504,0.11023622047244094,42
21,0.8711111885650098,46.04308219981594,,1397.7892599917334,1626.6995443251928,0.20987654320987653,0.0,358.5453553322276,0.25742574257425743,0.1188118811881188,42
22,6.282974250549592,68.78749705342022,,1604.8260768903817,1898.1036824241833,0.10294117647058823,0.0,351.72926251041343,0.27710843373493976,0.0963855421686747,42
23,0.6993218743248008,86.32623037183133,,1534.087612200229,1811.4071645158774,0.0784313725490196,0.0,389.08119525703034,0.3,0.11666666666666667,42
0,0.8538018428518769,133.99110231964787,,899.1274645146901,1001.7868729332931,0.12195121951219512,0.0,271.5812598022144,0.35294117647058826,0.0392156862745098,43
1,0.7729960505872334,155.7839098141793,,527.1447370074617,641.1253490987589,0.038461538461538464,0.0,315.7532659091601,0.5882352941176471,0.029411764705882353,43
2,0.9869349480110969,145.7845715543302,,516.374256783374,846.0245561988642,0.14814814814814814,0.0,327.18562089907937,0.46875,0.09375,43
3,0.11470398403278147,149.38555027566585,,317.3700731097744,461.14129312582065,0.04,0.0,383.9089722654688,0.6206896551724138,0.13793103448275862,43
4,0.4700970580390731,80.2624140194182,,310.7802089053434,255.87615290073256,0.2222222222222222,0.0,247.1299326172656,0.45454545454545453,0.0,43
5,0.2662262047013593,70.00140091940752,,622.9082940031515,536.1316651194961,0.10344827586206896,0.0,224.14021577220976,0.3333333333333333,0.030303030303030304,43
6,0.1926067053960009,45.85379699513473,,284.7978557740182,167.67343726007175,0.06666666666666667,0.0,239.15898940544437,0.35294117647058826,0.058823529411764705,43
7,0.010007800200863433,29.5340026697327,,94.37991394716316,254.28159160897394,0.20833333333333334,0.14285714285714285,153.06657013603945,0.2,0.0,43
8,4.791179094292039,17.366364246669928,,316.631620276756,507.1841108076884,0.09090909090909091,0.1111111111111111,182.51013730838923,0.24444444444444444,0.03333333333333333,43
9,5.323285938401416,21.764762758296005,,362.61095061444604,306.6727105409064,0.12195121951219512,0.1232876712328767,158.4730504374275,0.21296296296296297,0.009259259259259259,43
10,11.977632479772199,25.556254539503502,,241.04060002122864,215.19374986432155,0.10606060606060606,0.07017543859649122,156.66974256443163,0.17365269461077845,0.005988023952095809,43
11,14.070989222562142,27.10648666522571,,244.14230660173956,429.67969194521555,0.10526315789473684,0.020833333333333332,191.5929560799135,0.19375,0.025,43
12,8.737421864522554,24.085404857285514,38.010363231170686,266.34426766756803,452.7722708993113,0.1079136690647482,0.04504504504504504,189.6716902994972,0.1878453038674033,0.027624309392265192,43
13,7.285681997006929,28.692833649506145,,278.21235078188715,410.84755174556494,0.1509433962264151,0.022222222222222223,167.81947149846047,0.2,0.0064516129032258064,43
14,5.685850332279127,22.61448840057829,,351.7883204617687,476.6584046119712,0.06722689075630252,0.009708737864077669,181.77409900198722,0.22929936305732485,0.01910828025477707,43
