day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Tue,10.392153679778964,57.270279407414264,40.60543693944578,849.7204356685784,1045.7713246746994,0.08362369337979095,0.0211864406779661,323.58424987713545,0.36164383561643837,0.13424657534246576,11
Wed,3.8706448861274496,31.685103948763103,,1073.96349154308,1281.5901669504444,0.10227272727272728,0.018518518518518517,311.8979172061684,0.26011560693641617,0.1416184971098266,11
Fri,4.088328499244087,55.96587890290819,,893.5118186719827,1136.165503912382,0.08979591836734693,0.020942408376963352,346.7966969027191,0.3805031446540881,0.16666666666666666,12
Mon,2.78872043716729,22.882228153152543,44.86015664524348,996.3905298111589,1286.1680620733569,0.10738255033557047,0.058333333333333334,120.46154166030642,0.07397260273972603,0.0,12
Sat,1.8556965708775286,39.845352432181066,252.9676814392642,876.5498404831259,1189.4546449374755,0.09569377990430622,0.02197802197802198,267.7148099164484,0.25259515570934254,0.10380622837370242,12
Sun,2.3135271084796623,19.82683063719097,65.01690386869389,919.6113769798104,1181.603833867793,0.1285140562248996,0.059113300492610835,303.42130515928864,0.22884012539184953,0.12852664576802508,12
Thu,4.462856248265563,35.674957698613476,,703.1419580924007,904.9077729212213,0.10077519379844961,0.018779342723004695,277.0363515401342,0.2823529411764706,0.1264705882352941,12
Tue,5.400909076064118,56.08437991034704,136.08935171543726,467.05771450209124,615.0338592616546,0.1223021582733813,0.02666666666666667,256.4924530828011,0.3536231884057971,0.04927536231884058,12
Wed,3.96833308699459,40.52316434866477,,526.7287569823025,794.4478131111797,0.08812260536398467,0.0182648401826484,266.8918252787431,0.2543859649122807,0.11403508771929824,12
Fri,2.198163975328845,14.457515352494353,57.61157566953534,582.9459354192522,819.6078141968989,0.08189655172413793,0.021739130434782608,296.20142938523276,0.27564102564102566,0.1282051282051282,13
Mon,5.740384703137089,22.646647111120668,54.650366529183884,750.1309729861141,1039.2525114430507,0.1111111111111111,0.034934497816593885,118.43398776570844,0.05789473684210526,0.002631578947368421,13
Sat,6.243675325776084,22.15378600850625,,922.5242401502727,1203.981401139149,0.09349593495934959,0.019704433497536946,358.4347139571167,0.23493975903614459,0.13253012048192772,13
Sun,2.9066328253574882,15.473591696921657,,975.3614729981425,1377.2727135683765,0.11739130434782609,0.05851063829787234,278.08905611906056,0.17525773195876287,0.1134020618556701,13
Thu,2.9579192867594992,26.24232537686799,,351.4868337577021,537.207671897763,0.07983193277310924,0.020202020202020204,202.22638843610082,0.2334384858044164,0.03470031545741325,13
Tue,5.875045951682127,83.3048885107852,,247.7932304338119,414.5590209307013,0.11307420494699646,0.020833333333333332,240.5907795210944,0.35376044568245124,0.03899721448467967,13
Wed,4.150248282380043,41.047308792909014,131.9782026965663,330.92166777798775,558.8559374735731,0.08097165991902834,0.01951219512195122,230.4615083539323,0.31875,0.053125,13
Fri,4.762407624061962,28.847728761430844,,516.3441645028958,816.9359567425073,0.08118081180811808,0.013953488372093023,307.63778011196666,0.2823529411764706,0.1411764705882353,14
Mon,5.405964469789938,27.661674130649022,,,,0.10638297872340426,0.06198347107438017,126.58954484667915,0.08379888268156424,0.0,14
Sat,6.749113651589939,26.012267682751116,270.6962985981454,1039.7654618108484,1282.0431216774618,0.08677685950413223,0.020618556701030927,390.6424202511612,0.25236593059936907,0.14826498422712933,14
Sun,3.392549847473992,27.512596164325263,,1282.1672526057198,1558.2824728554235,0.09236947791164658,0.052884615384615384,265.73730673948455,0.1826625386996904,0.08668730650154799,14
Thu,5.93427971147452,27.847238646959294,,395.265026576732,703.2000994144659,0.0992063492063492,0.01904761904761905,250.66318532024536,0.2515527950310559,0.08385093167701864,14
Tue,2.817983270881466,52.78358829848768,172.37569805361719,538.5917228624212,797.487753234852,0.11418685121107267,0.028925619834710745,276.3475518132509,0.2966101694915254,0.11299435028248588,14
Wed,4.063611082046646,45.4667092630512,44.39576985560279,545.7392357669519,848.7911720426067,0.1111111111111111,0.017699115044247787,287.4406876898952,0.2777777777777778,0.0935672514619883,14
Fri,7.9233422423132716,92.07554629698716,191.66459909380592,445.59054265778354,613.657839214912,0.10104529616724739,0.01680672268907563,277.8327825238303,0.4143646408839779,0.058011049723756904,15
Mon,13.224623477427816,52.95495057154738,,256.07894804306557,420.77663193684884,0.10749185667752444,0.05,173.81876083595859,0.18024691358024691,0.0,15
